Date,Open,High,Low,Close,Adj Close,Volume
2019-07-09,199.2,201.51,198.81,201.24,200.48,20578000
2019-07-10,201.85,203.73,201.56,203.23,202.46,17897100
2019-07-11,203.31,204.39,201.71,201.75,200.99,20191800
2019-07-12,202.45,204.0,202.2,203.3,202.53,17595200
2019-07-15,204.09,205.87,204.0,205.21,204.43,16947400
2019-07-16,204.59,206.11,203.5,204.5,203.73,16866800
2019-07-17,204.05,205.09,203.27,203.35,202.58,14107500
2019-07-18,204.0,205.88,203.7,205.66,204.88,18540600
2019-07-19,205.79,206.5,202.36,202.59,201.82,20929300
2019-07-22,203.65,207.23,203.61,207.22,206.44,22277900
2019-07-23,208.46,208.91,207.29,208.84,208.05,18355200
2019-07-24,207.67,209.15,207.17,208.67,207.88,14991600
2019-07-25,208.89,209.24,206.73,207.02,206.24,13909600
2019-07-26,207.48,209.73,207.14,207.74,206.95,17618900
2019-07-29,208.46,210.64,208.44,209.68,208.89,21673400
2019-07-30,208.76,210.16,207.31,208.78,207.99,33935700
2019-07-31,216.42,221.37,211.3,213.04,212.23,69281400
2019-08-01,213.9,218.03,206.74,208.43,207.64,54017900
2019-08-02,205.53,206.43,201.63,204.02,203.25,40862100
2019-08-05,197.99,198.65,192.58,193.34,192.61,52393000
2019-08-06,196.31,198.07,194.04,197.0,196.25,35824800
2019-08-07,195.41,199.56,193.82,199.04,198.29,33364400
2019-08-08,200.2,203.53,199.39,203.43,202.66,27009500
2019-08-09,201.3,202.76,199.29,200.99,200.99,24619700
2019-08-12,199.62,202.05,199.15,200.48,200.48,22481900
2019-08-13,201.02,212.14,200.48,208.97,208.97,47218500
2019-08-14,203.16,206.44,202.59,202.75,202.75,36547400
2019-08-15,203.46,205.14,199.67,201.74,201.74,27227400
2019-08-16,204.28,207.16,203.84,206.5,206.5,27620400
2019-08-19,210.62,212.73,210.03,210.35,210.35,24413600
2019-08-20,210.88,213.35,210.32,210.36,210.36,26884300
2019-08-21,212.99,213.65,211.6,212.64,212.64,21535400
2019-08-22,213.19,214.44,210.75,212.46,212.46,22253700
2019-08-23,209.43,212.05,201.0,202.64,202.64,46818000
2019-08-26,205.86,207.19,205.06,206.49,206.49,26043600
2019-08-27,207.86,208.55,203.53,204.16,204.16,25873300
2019-08-28,204.1,205.72,203.32,205.53,205.53,15938800
2019-08-29,208.5,209.32,206.66,209.01,209.01,20990500
2019-08-30,210.16,210.45,207.2,208.74,208.74,21143400
2019-09-03,206.43,206.98,204.22,205.7,205.7,20023000
2019-09-04,208.39,209.48,207.32,209.19,209.19,19188100
2019-09-05,212.0,213.97,211.51,213.28,213.28,23913700
2019-09-06,214.05,214.42,212.51,213.26,213.26,19362300
2019-09-09,214.84,216.44,211.07,214.17,214.17,27309400
2019-09-10,213.86,216.78,211.71,216.7,216.7,31777900
2019-09-11,218.07,223.71,217.73,223.59,223.59,44289600
2019-09-12,224.8,226.42,222.86,223.09,223.09,32226700
2019-09-13,220.0,220.79,217.02,218.75,218.75,39763300
2019-09-16,217.73,220.13,217.56,219.9,219.9,21158100
2019-09-17,219.96,220.82,219.12,220.7,220.7,18318700
2019-09-18,221.06,222.85,219.44,222.77,222.77,25340000
2019-09-19,222.01,223.76,220.37,220.96,220.96,22060600
2019-09-20,221.38,222.56,217.47,217.73,217.73,55413100
2019-09-23,218.95,219.84,217.65,218.72,218.72,19165500
2019-09-24,221.03,222.49,217.19,217.68,217.68,31190800
2019-09-25,218.55,221.5,217.14,221.03,221.03,21903400
2019-09-26,220.0,220.94,218.83,219.89,219.89,18833500
2019-09-27,220.54,220.96,217.28,218.82,218.82,25352000
2019-09-30,220.9,224.58,220.79,223.97,223.97,25977400
2019-10-01,225.07,228.22,224.2,224.59,224.59,34805800
2019-10-02,223.06,223.58,217.93,218.96,218.96,34612300
2019-10-03,218.43,220.96,215.13,220.82,220.82,28606500
2019-10-04,225.64,227.49,223.89,227.01,227.01,34619700
2019-10-07,226.27,229.93,225.84,227.06,227.06,30576500
2019-10-08,225.82,228.06,224.33,224.4,224.4,27955000
2019-10-09,227.03,227.79,225.64,227.03,227.03,18692600
2019-10-10,227.93,230.44,227.3,230.09,230.09,28253400
2019-10-11,232.95,237.64,232.31,236.21,236.21,41698900
2019-10-14,234.9,238.13,234.67,235.87,235.87,24106900
2019-10-15,236.39,237.65,234.88,235.32,235.32,21840000
2019-10-16,233.37,235.24,233.2,234.37,234.37,18475800
