Date,Open,High,Low,Close,Adj Close,Volume
2017-01-20,36.76,37.03,36.58,36.94,34.38,23950900
2017-01-23,37.07,37.21,36.55,36.77,34.22,27752600
2017-01-24,36.84,37.74,36.81,37.62,35.01,35140900
2017-01-25,37.87,38.0,37.52,37.8,35.18,32276400
2017-01-26,37.82,37.92,37.42,37.56,34.95,34144800
2017-01-27,38.0,38.45,37.81,37.98,35.34,44368600
2017-01-30,37.74,37.84,37.33,37.42,34.82,23954700
2017-01-31,37.22,37.37,36.64,36.82,34.26,27059100
2017-02-01,36.82,36.95,36.02,36.52,33.99,28380600
2017-02-02,36.26,36.7,36.2,36.68,34.13,31916900
2017-02-03,36.69,36.82,36.45,36.52,34.23,21038100
2017-02-06,36.51,36.51,36.15,36.27,33.99,21427000
2017-02-07,36.45,36.52,36.24,36.35,34.07,18581900
2017-02-08,36.34,36.65,36.14,36.38,34.1,20807400
2017-02-09,36.5,36.5,35.4,35.46,33.23,47802700
2017-02-10,35.26,35.43,34.84,35.34,33.12,44106500
2017-02-13,35.57,35.85,35.34,35.8,33.55,28180600
2017-02-14,35.84,35.96,35.53,35.93,33.68,25734800
2017-02-15,35.98,36.06,35.67,36.05,33.79,18452200
2017-02-16,36.18,36.56,36.1,36.41,34.13,21317500
2017-02-17,36.32,36.48,36.1,36.48,34.19,18909900
2017-02-21,36.53,36.65,36.33,36.52,34.23,20556000
2017-02-22,36.34,36.4,35.79,36.07,33.81,29904400
2017-02-23,36.24,36.3,35.9,36.18,33.91,22775000
2017-02-24,36.14,36.53,35.95,36.53,34.24,18617600
2017-02-27,36.42,36.68,36.27,36.51,34.22,14065200
2017-02-28,36.42,36.46,36.0,36.2,33.93,24977000
2017-03-01,35.85,36.1,35.44,35.93,33.68,34085900
2017-03-02,35.93,36.02,35.65,35.91,33.66,23602100
2017-03-03,35.94,36.09,35.67,35.9,33.65,17538100
2017-03-06,35.79,35.8,35.42,35.57,33.34,24416700
2017-03-07,35.54,35.8,35.39,35.8,33.55,23434900
2017-03-08,35.67,35.9,35.53,35.62,33.38,20920100
2017-03-09,35.6,35.94,35.5,35.82,33.57,23616800
2017-03-10,36.12,36.3,35.78,35.91,33.66,25402300
2017-03-13,35.85,36.04,34.94,35.16,32.95,53582900
2017-03-14,35.06,35.23,34.66,35.18,32.97,28586900
2017-03-15,34.94,35.17,34.68,35.1,32.9,27996100
2017-03-16,35.17,35.36,35.07,35.14,32.93,19616100
2017-03-17,35.31,35.33,35.1,35.27,33.06,30778900
2017-03-20,35.37,35.63,35.26,35.43,33.21,17322300
2017-03-21,35.59,35.6,35.0,35.04,32.84,22814500
2017-03-22,35.22,35.46,35.0,35.37,33.15,19144500
2017-03-23,35.49,35.49,35.02,35.27,33.06,20640400
2017-03-24,35.65,35.73,35.12,35.16,32.95,22188000
2017-03-27,35.07,35.5,34.94,35.39,33.17,16992200
2017-03-28,35.34,35.71,35.21,35.6,33.37,18398100
2017-03-29,35.52,35.7,35.44,35.57,33.34,17202600
2017-03-30,35.58,35.89,35.52,35.75,33.51,16433000
2017-03-31,35.75,36.25,35.74,36.07,33.81,21438400
2017-04-03,36.19,36.74,36.12,36.16,33.89,32013600
2017-04-04,36.12,36.38,35.99,36.28,34.0,18918000
2017-04-05,36.43,36.76,36.17,36.22,33.95,22455500
2017-04-06,36.13,36.28,36.03,36.03,33.77,20198200
2017-04-07,36.07,36.32,35.99,36.03,33.77,15689500
2017-04-10,36.02,36.09,35.61,35.8,33.55,19973700
2017-04-11,35.77,35.79,35.21,35.74,33.5,22711800
2017-04-12,35.87,36.01,35.5,35.63,33.39,19289800
2017-04-13,35.55,35.76,35.25,35.25,33.04,15764000
2017-04-17,35.44,35.59,35.33,35.48,33.25,12560700
2017-04-18,35.43,35.81,35.3,35.77,33.53,12321100
2017-04-19,35.97,36.22,35.89,35.91,33.66,16594600
2017-04-20,36.18,36.27,35.86,36.18,33.91,22968300
2017-04-21,36.2,36.42,35.85,36.32,34.04,20390500
2017-04-24,36.67,36.85,36.46,36.75,34.44,26305800
2017-04-25,36.77,37.0,36.66,36.87,34.56,22066800
2017-04-26,36.78,37.23,36.78,36.93,34.61,27241000
2017-04-27,36.87,37.5,36.78,37.43,35.08,39890000
2017-04-28,36.1,36.49,35.88,36.15,33.88,56769300
2017-05-01,36.11,36.4,35.94,36.31,34.03,24825600
2017-05-02,36.37,37.03,36.35,36.97,34.65,35813000
2017-05-03,36.72,37.17,36.62,36.98,34.92,22040300
2017-05-04,36.99,37.11,36.64,36.85,34.79,16437100
2017-05-05,36.86,36.93,36.5,36.82,34.77,18119200
2017-05-08,36.73,36.85,36.48,36.54,34.5,17660200
2017-05-09,36.48,36.75,36.28,36.37,34.34,17819100
2017-05-10,36.27,36.38,35.93,36.01,34.0,25133800
2017-05-11,35.91,36.0,35.45,35.69,33.7,21508900
2017-05-12,35.72,35.74,35.4,35.53,33.55,19730800
2017-05-15,35.53,35.72,35.42,35.63,33.64,22120100
2017-05-16,35.75,35.89,35.42,35.82,33.82,22291800
2017-05-17,35.67,35.99,35.02,35.04,33.09,26670200
2017-05-18,35.19,35.47,35.08,35.22,33.26,17171900
2017-05-19,35.15,35.55,35.13,35.4,33.43,18340100
2017-05-22,35.48,36.11,35.38,35.77,33.77,14638100
2017-05-23,35.87,35.99,35.56,35.86,33.86,16903700
2017-05-24,35.98,36.18,35.89,36.12,34.11,20640600
2017-05-25,36.12,36.39,36.06,36.26,34.24,13148500
2017-05-26,36.26,36.33,36.13,36.26,34.24,11145500
2017-05-30,36.27,36.44,36.09,36.18,34.16,13026900
2017-05-31,36.31,36.38,35.87,36.11,34.1,17741900
2017-06-01,36.12,36.13,35.8,36.12,34.11,17510900
2017-06-02,36.27,36.33,36.0,36.32,34.29,19127400
2017-06-05,36.3,36.5,36.2,36.34,34.31,11685700
2017-06-06,36.16,36.45,35.98,36.13,34.11,18420900
2017-06-07,36.13,36.57,36.1,36.26,34.24,17192000
2017-06-08,36.34,36.53,36.16,36.48,34.45,17154200
2017-06-09,36.5,36.56,35.31,35.71,33.72,33322100
2017-06-12,35.59,36.01,35.41,35.73,33.74,28488300
2017-06-13,35.68,35.95,35.53,35.88,33.88,20588200
2017-06-14,35.99,36.05,35.22,35.53,33.55,19149000
2017-06-15,35.21,35.48,35.14,35.31,33.34,20410000
2017-06-16,35.28,35.33,35.01,35.21,33.25,30762800
2017-06-19,35.61,35.61,35.32,35.51,33.53,21583800
2017-06-20,35.45,35.45,34.84,34.86,32.92,21536500
2017-06-21,34.33,34.6,34.09,34.58,32.65,27138500
2017-06-22,34.56,34.63,34.29,34.36,32.44,24602900
2017-06-23,34.21,34.55,34.1,34.19,32.28,29260900
2017-06-26,34.26,34.51,34.03,34.07,32.17,18854800
2017-06-27,34.0,34.15,33.65,33.65,31.77,27078900
2017-06-28,33.77,34.24,33.74,34.2,32.29,25940100
2017-06-29,33.92,34.1,33.34,33.54,31.67,25215700
